id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors,id_dup,name_dup
1480231,Anybuddy,Anybuddy connect Sportmen with sport Venues,Sports,,2,"165 Avenue de Bretagne, 59000 Lille, France",Avenue de Bretagne,,,France,Lille,"Gamification,community management",,True
2944199,Anybuddy,,,,2,"Lille, Hauts-de-France, France",,,59000,France,Lille,,,True
1297653,Apostrophe,Apostrophe is part technology startup and part healthcare disruptor,Health,,2,"United States, Denver",,,,United States,Denver,"Health Care,Insurance,insurtech",,True
2019609,Apostrophe,Better Health Benefits for the Self Funded Employer,,,2,"Denver, CO, United States",,,80204,United States,Denver,,,True
1752376,Appliance University,Provides instructional information,,,8,"United States, Aptos",,,95003,United States,Aptos,,,True
133894,Appliance University,Appliance University is the Place for Appliance & HVAC/R Training Teaching How To Properly Diagnose and Repair,Education,,2,"United States, Aptos",,,,United States,Aptos,"Training,repair,teaching",,True
2412640,Applied Statistics & Management,"Applied Statistics & Management Inc. | Applied Statistics & Management Inc. (ASM) empowers healthcare organizations to advance patient safety and quality objectives using cloud-based, AI-enabled software solutions. Over 1,200 facilities worldwide use our products, MD-Staff and MD-Stat, to automate and manage their credentialing, privileging, OPPE, FPPE and peer review processes.",,,2,"Temecula, CA, United States",,,92590,United States,Temecula,,,True
1334669,Applied Statistics & Management,"Credentialing, privileging, peer review & OPPE/FPPE software",Enterprise Software,,4,"United States, Temecula",,,,United States,Temecula,,,True
171360,Appreciation Engine,The Appreciation Engine,Semiconductors,,2,"United States, Los Angeles",,,,United States,Los Angeles,,,True
2019847,Appreciation Engine,Home : AE,Enterprise Software,,2,"Victoria, BC, Canada",,,V8W,Canada,Victoria,,,True
2033000,ApproveMe,ApproveMe eSignature | Digital E-Signature for WordPress,,,2,"San Francisco, CA, United States",,,94102,United States,San Francisco,,,True
1362670,ApproveMe,Software company developing wordpress plugin for approval management process,Legal,,2,"United States, Los Angeles",,,,United States,Los Angeles,Freelancers,,True
2019661,Aquilon Energy Services,Home | Aquilon Network,Enterprise Software,,2,"Houston, TX, United States",,,77002,United States,Houston,,,True
1419799,Aquilon Energy Services,"Chicago-based software company providing innovative solutions for the fast-paced, complex and data intensive",Energy,,2,"United States, Lisle",,,,United States,Lisle,Wholesale,,True
900624,Arista Networks,MDM & Enterprise Mobile Solutions | MobileIron,Telecom,,4,"United States, Santa Clara",,,,United States,Santa Clara,"verified Unicorns and $1B exits,Cloud Computing,Mobile Device Management,Virtualization,Storage",,True
2032416,Arista Networks,Software Driven Cloud Networking - Arista,Enterprise Software,,2,"Santa Clara, CA, United States",,,95050,United States,Santa Clara,,,True
972999,Armor,A Cloud Security and Compliance Solutions Company - Armor,Security,Enterprise Software,2,"Rhodesia House, 52 Princess St, Manchester M1 6JX, UK",Princess Street,,M1 6JX,United Kingdom,Manchester,"Security,cybersecurity,regtech compliance,compliance",,True
14798,Armor,"Secure cloud provider that protects applications, data for security/compliance-driven businesses",Hosting,Security,2,"United Kingdom, Slough, Bath Road, 268",Bath Road,268,SL1 4DX,United Kingdom,Slough,"Security,chat,Hosting,regtech compliance,compliance,Messaging",,True
1636930,Arora New York,Real Estate Investment Firm,Real Estate,,2,"United States, New York",,,10007,United States,New York,outside tech,,True
1210997,Arora New York,Real estate investment firm,,,3,"United States, New York",,,,United States,New York,,,True
893690,Arsenic,Add me on Snapchat!,Media,,2,"United States, Los Angeles",,,,United States,Los Angeles,SaaS,,True
2019909,Arsenic,Snapchat,Media,,2,"Los Angeles, CA, United States",,,90012,United States,Los Angeles,,,True
